Service Level 1,Service Level 2,Service Level 3,Service Level 4,Service Level 5
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Azure 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Azure 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Azure 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Azure 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Connected 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Connected 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Connected 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Pre-Built Connected 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Azure 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Azure 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Azure 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Azure 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Connected 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Connected 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Connected 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Commitment Tier Custom Connected 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,Free
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer,S0
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Pre-Built Disconnected 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Pre-Built Disconnected 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Pre-Built Disconnected 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Pre-Built Disconnected 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Custom Disconnected 1000K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Custom Disconnected 100K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Custom Disconnected 20K
AI + Machine Learning,Azure Applied AI Services,,Azure Form Recognizer - disconnected,Commitment Tier Custom Disconnected 500K
AI + Machine Learning,Azure Applied AI Services,,Azure Immersive Reader,Commercial
AI + Machine Learning,Azure Applied AI Services,,Azure Immersive Reader,EDU Nonprofit
AI + Machine Learning,Azure Applied AI Services,,Azure Immersive Reader,Internal
AI + Machine Learning,Azure Applied AI Services,,Azure Metrics Advisor,Standard
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Live Video Analysis on Edge Basic
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Live Video Topology Additional Capacity S1
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Live Video Topology S1
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Video Exporting
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Video Streaming Basic
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer,Video Streaming Standard
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer for Media,Basic Audio Analysis
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer for Media,Standard Audio Analysis
AI + Machine Learning,Azure Applied AI Services,,Azure Video Analyzer for Media,Standard Video Analysis
AI + Machine Learning,Azure Bot Service,,Azure Bot Service,Free
AI + Machine Learning,Azure Bot Service,,Azure Bot Service,S1
AI + Machine Learning,Azure Bot Service,,Microsoft Azure Health Bot,Covid
AI + Machine Learning,Azure Bot Service,,Microsoft Azure Health Bot,Free
AI + Machine Learning,Azure Bot Service,,Microsoft Azure Health Bot,Standard
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise FPGA Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise FPGA Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise General Compute Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise General Compute Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC1 Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC1 Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC2 Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC2 Series Training,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC3 Series Inferencing,vCPU
AI + Machine Learning,Azure Machine Learning,,Azure Machine Learning Enterprise GPU NC3 Series Training,vCPU
